timestamp,bus,can_id,payload
1780704568.838554,vcan0,607,00000000
1780704568.869569,vcan0,00A,00000000
1780704568.914221,vcan0,00A,00000000
1780704568.945537,vcan0,00A,00000000
1780704568.989950,vcan0,00A,00000000
1780704569.021531,vcan0,00A,00000000
1780704569.064532,vcan0,00A,00000000
1780704569.064578,vcan0,7D1,7F000000
1780704569.064602,vcan0,603,00
1780704569.064626,vcan0,604,00
1780704569.064651,vcan0,607,00000000
1780704569.095496,vcan0,00A,00000000
1780704569.139963,vcan0,00A,00000000
1780704569.171565,vcan0,00A,00000000
1780704569.214085,vcan0,00A,00000000
1780704569.245517,vcan0,00A,00000000
1780704569.290451,vcan0,00A,00000000
1780704569.290517,vcan0,7D0,00000000
1780704569.290551,vcan0,603,00
1780704569.290577,vcan0,604,00
1780704569.290607,vcan0,606,00
1780704569.290634,vcan0,607,00000000
1780704569.321502,vcan0,00A,00000000
1780704569.321537,vcan0,7D1,7F000000
1780704569.365371,vcan0,00A,00000000
1780704569.396504,vcan0,00A,00000000
1780704569.440239,vcan0,00A,00000000
1780704569.471500,vcan0,00A,00000000
1780704569.514620,vcan0,00A,00000000
1780704569.514672,vcan0,603,00
1780704569.514704,vcan0,604,00
1780704569.514735,vcan0,607,00000000
1780704569.546504,vcan0,00A,00000000
1780704569.589040,vcan0,00A,00000000
1780704569.589094,vcan0,7D1,7F000000
1780704569.620517,vcan0,00A,00000000
1780704569.663839,vcan0,00A,00000000
1780704569.695524,vcan0,00A,00000000
1780704569.739571,vcan0,00A,00000000
1780704569.739632,vcan0,603,00
1780704569.739674,vcan0,604,00
1780704569.739707,vcan0,607,00000000
1780704569.769693,vcan0,00A,00000000
1780704569.815145,vcan0,00A,00000000
1780704569.815214,vcan0,7D0,00000000
1780704569.815255,vcan0,606,00
1780704569.846501,vcan0,00A,00000000
1780704569.846537,vcan0,7D1,7F000000
1780704569.889596,vcan0,00A,00000000
1780704569.921510,vcan0,00A,00000000
1780704569.962641,vcan0,00A,00000000
1780704569.962686,vcan0,603,00
1780704569.962721,vcan0,604,00
1780704569.962756,vcan0,607,00000000
1780704569.994507,vcan0,00A,00000000
1780704570.038323,vcan0,00A,00000000
1780704570.069502,vcan0,00A,00000000
1780704570.112976,vcan0,00A,00000000
1780704570.113026,vcan0,7D1,7F000000
1780704570.144487,vcan0,00A,00000000
1780704570.186662,vcan0,00A,00000000
1780704570.186707,vcan0,603,00
1780704570.186736,vcan0,604,00
1780704570.186765,vcan0,607,00000000
1780704570.218489,vcan0,00A,00000000
1780704570.261602,vcan0,00A,00000000
1780704570.293509,vcan0,00A,00000000
1780704570.336020,vcan0,00A,00000000
1780704570.336063,vcan0,7D0,00000000
1780704570.336098,vcan0,606,00
1780704570.367495,vcan0,00A,00000000
1780704570.367528,vcan0,7D1,7F000000
1780704570.409852,vcan0,00A,00000000
1780704570.409895,vcan0,603,00
1780704570.409924,vcan0,604,00
1780704570.409954,vcan0,607,00000000
1780704570.441501,vcan0,00A,00000000
1780704570.484053,vcan0,00A,00000000
1780704570.515493,vcan0,00A,00000000
1780704570.558442,vcan0,00A,00000000
1780704570.590544,vcan0,00A,00000000
1780704570.634231,vcan0,00A,00000000
1780704570.634285,vcan0,7D1,7F000000
1780704570.634317,vcan0,603,00
1780704570.634345,vcan0,604,00
1780704570.634373,vcan0,607,00000000
1780704570.665471,vcan0,00A,00000000
1780704570.708161,vcan0,00A,00000000
1780704570.739493,vcan0,00A,00000000
1780704570.782106,vcan0,00A,00000000
1780704570.813504,vcan0,00A,00000000
1780704570.856678,vcan0,00A,00000000
1780704570.856751,vcan0,7D0,00000000
1780704570.856796,vcan0,603,00
1780704570.856835,vcan0,604,00
1780704570.856871,vcan0,606,00
1780704570.856902,vcan0,607,00000000
1780704570.888502,vcan0,00A,00000000
1780704570.888539,vcan0,7D1,7F000000
1780704570.931555,vcan0,00A,00000000
1780704570.962528,vcan0,00A,00000000
1780704571.006143,vcan0,00A,00000000
1780704571.037494,vcan0,00A,00000000
1780704571.081026,vcan0,00A,00000000
1780704571.081104,vcan0,603,00
1780704571.081146,vcan0,604,00
1780704571.081187,vcan0,607,00000000
1780704571.112482,vcan0,00A,00000000
1780704571.155963,vcan0,00A,00000000
1780704571.156268,vcan0,7D1,7F000000
1780704571.187511,vcan0,00A,00000000
1780704571.231770,vcan0,00A,00000000
1780704571.263474,vcan0,00A,00000000
1780704571.305441,vcan0,00A,00000000
1780704571.305478,vcan0,603,00
1780704571.305501,vcan0,604,00
1780704571.305528,vcan0,607,00000000
1780704571.336548,vcan0,00A,00000000
1780704571.369256,vcan0,00A,00000000
1780704571.369306,vcan0,7D0,00000000
1780704571.369339,vcan0,606,00
1780704571.400540,vcan0,00A,00000000
1780704571.416605,vcan0,7D1,7F000000
1780704571.432539,vcan0,00A,00000000
1780704571.464595,vcan0,00A,00000000
1780704571.496599,vcan0,00A,00000000
1780704571.512605,vcan0,603,00
1780704571.512655,vcan0,604,00
1780704571.512677,vcan0,607,00000000
1780704571.528846,vcan0,00A,00000000
1780704571.560638,vcan0,00A,00000000
1780704571.593570,vcan0,00A,00000000
1780704571.625669,vcan0,00A,00000000
1780704571.657562,vcan0,00A,00000000
1780704571.673619,vcan0,7D1,7F000000
1780704571.689562,vcan0,00A,00000000
1780704571.721518,vcan0,00A,00000000
1780704571.721553,vcan0,603,00
1780704571.721571,vcan0,604,00
1780704571.721590,vcan0,607,00000000
1780704571.753506,vcan0,00A,00000000
1780704571.784511,vcan0,00A,00000000
1780704571.816483,vcan0,00A,00000000
1780704571.848489,vcan0,00A,00000000
1780704571.880488,vcan0,00A,00000000
1780704571.880519,vcan0,7D0,00000000
1780704571.880541,vcan0,606,00
1780704571.912490,vcan0,00A,00000000
1780704571.928473,vcan0,7D1,7F000000
1780704571.928499,vcan0,603,00
1780704571.928516,vcan0,604,00
1780704571.928534,vcan0,607,00000000
1780704571.944482,vcan0,00A,00000000
1780704571.976498,vcan0,00A,00000000
1780704572.008492,vcan0,00A,00000000
1780704572.040484,vcan0,00A,00000000
1780704572.072487,vcan0,00A,00000000
1780704572.104531,vcan0,00A,00000000
1780704572.136535,vcan0,00A,00000000
1780704572.136569,vcan0,603,00
1780704572.136586,vcan0,604,00
1780704572.136604,vcan0,607,00000000
1780704572.168516,vcan0,00A,00000000
1780704572.184519,vcan0,7D1,7F000000
1780704572.200525,vcan0,00A,00000000
1780704572.232544,vcan0,00A,00000000
1780704572.264546,vcan0,00A,00000000
1780704572.296625,vcan0,00A,00000000
1780704572.328550,vcan0,00A,00000000
1780704572.344524,vcan0,603,00
1780704572.344560,vcan0,604,00
1780704572.344580,vcan0,607,00000000
1780704572.360516,vcan0,00A,00000000
1780704572.392474,vcan0,00A,00000000
1780704572.392504,vcan0,7D0,00000000
1780704572.392524,vcan0,606,00
1780704572.424480,vcan0,00A,00000000
1780704572.440485,vcan0,7D1,7F000000
1780704572.456486,vcan0,00A,00000000
1780704572.488504,vcan0,00A,00000000
1780704572.520507,vcan0,00A,00000000
1780704572.552503,vcan0,00A,00000000
1780704572.552536,vcan0,603,00
1780704572.552560,vcan0,604,00
1780704572.552582,vcan0,607,00000000
1780704572.585488,vcan0,00A,00000000
1780704572.617476,vcan0,00A,00000000
1780704572.649492,vcan0,00A,00000000
1780704572.681478,vcan0,00A,00000000
1780704572.697510,vcan0,7D1,7F000000
1780704572.713838,vcan0,00A,00000000
1780704572.745536,vcan0,00A,00000000
1780704572.761573,vcan0,603,00
1780704572.761619,vcan0,604,00
1780704572.761644,vcan0,607,00000000
1780704572.776532,vcan0,00A,00000000
1780704572.808515,vcan0,00A,00000000
1780704572.840534,vcan0,00A,00000000
1780704572.872554,vcan0,00A,00000000
1780704572.904570,vcan0,00A,00000000
1780704572.904614,vcan0,7D0,00000000
1780704572.904638,vcan0,606,00
1780704572.936501,vcan0,00A,00000000
1780704572.952504,vcan0,7D1,7F000000
1780704572.968539,vcan0,00A,00000000
1780704572.968584,vcan0,603,00
1780704572.968603,vcan0,604,00
1780704572.968621,vcan0,607,00000000
1780704573.000556,vcan0,00A,00000000
1780704573.032494,vcan0,00A,00000000
1780704573.064541,vcan0,00A,00000000
1780704573.096530,vcan0,00A,00000000
1780704573.128507,vcan0,00A,00000000
1780704573.160543,vcan0,00A,00000000
1780704573.176487,vcan0,603,00
1780704573.176517,vcan0,604,00
1780704573.176537,vcan0,607,00000000
1780704573.192518,vcan0,00A,00000000
1780704573.208494,vcan0,7D1,7F000000
1780704573.224502,vcan0,00A,00000000
1780704573.256500,vcan0,00A,00000000
1780704573.288513,vcan0,00A,00000000
1780704573.320645,vcan0,00A,00000000
1780704573.352483,vcan0,00A,00000000
1780704573.384480,vcan0,00A,00000000
1780704573.384510,vcan0,603,00
1780704573.384528,vcan0,604,00
1780704573.384546,vcan0,607,00000000
1780704573.416461,vcan0,00A,00000000
